,0,1,2,3,4,5,6
0,0.7012733,0.0,0.5344476,1.3881671,1.8003112,4.742035,1.7731923
1,1.6282045,5.9657793,1.1909249,2.7056499,5.8855214,0.6427359,2.774514
2,2.7921255,0.0,3.1796896,0.114551485,3.9196322,4.319437,2.8693798
3,0.71691644,0.0,0.8210935,0.37733912,1.229654,5.027293,1.8032162
4,0.0,0.64206254,0.0,0.1277923,8.23388,9.492519,5.437935
5,0.67445755,2.5863252,0.6925607,0.4182858,3.9052546,1.2299765,1.061542
6,1.8478746,0.6969643,2.1709054,0.0,5.5760784,3.2875006,3.202156
7,2.498432,0.0,2.58187,0.28009462,2.689506,5.09043,2.6646724
8,1.7991477,0.0,1.6231,1.0367203,0.90742695,5.1956882,2.426899
9,3.0821893,2.27937,3.6584842,0.89076394,2.1467159,4.3932586,1.1512562
10,0.61860406,1.327608,0.8825682,0.0,5.287406,2.723853,2.319286
11,3.1276333,1.0467678,4.155238,0.14313632,3.7128096,4.1828866,2.497154
12,2.553493,0.0,3.0165484,0.12198022,4.3117857,3.6038914,2.0424259
13,2.1629977,0.99636817,2.2578602,0.94199866,0.7179237,5.405747,1.4977076
14,2.8164084,0.0,3.0847385,0.09187913,3.7791936,4.4802904,2.7457612
15,1.4713662,0.0,1.393445,0.77562284,1.7543465,5.9881525,2.384452
16,3.701367,2.384,4.9638863,1.3644333,3.743859,3.9192977,2.6108356
17,1.6326787,0.873103,1.8917866,0.0,5.6615243,3.4760227,3.406709
18,1.47316,0.0,1.3828378,0.92907655,1.7629275,6.1491294,2.3610873
19,0.49760398,5.409205,1.0553333,3.4603076,3.6499739,1.0644883,3.1321847
20,3.367665,2.197087,4.4834213,0.6875668,3.6438916,1.9171001,3.9445283
21,2.8646443,0.0005913675,2.9219186,0.44207016,4.3036737,1.8554546,3.4165843
22,1.8377738,0.0,2.514303,0.0,5.0228176,4.425744,2.6840785
23,0.43200013,1.7934264,0.56023324,0.0,4.8377705,2.109685,1.8833244
24,1.9057341,0.0,2.3692477,0.0,3.5303643,4.991059,2.348254
25,2.95432,0.078923434,2.7759516,0.64816785,2.7180634,5.3317623,2.14998
26,1.8506982,1.2686739,2.3253956,0.0,5.3696284,1.9337422,2.8458884
27,0.7828723,0.24271706,0.27812842,3.725152,2.6426775,3.7414818,1.1163733
28,3.5852954,1.7923237,4.209284,1.102868,2.9606876,4.863831,2.2241347
29,1.6841571,0.95974743,1.8830922,2.4178224,1.1815431,5.7421455,1.3185085
30,0.5916122,3.135949,0.9283699,0.1625697,5.020778,1.3455802,2.7182891
31,3.53354,3.753568,5.5589314,1.2761776,4.328393,2.2749424,3.9570706
32,0.75133014,0.0,0.5730468,1.477171,1.8214098,4.78721,1.7566581
33,1.2163538,2.5762236,1.7079961,0.0,5.5273113,1.2755163,2.70395
34,0.6015867,3.9058385,0.85468364,0.78895056,4.462968,1.1268587,2.449633
35,0.0,0.65175116,0.0,0.15761822,8.254184,9.500404,5.392327
36,1.7435423,0.0,2.1345205,0.35356975,3.511089,5.8351912,3.0290773
37,0.6948712,0.0,0.75747037,0.32468617,0.930936,4.612723,1.5786905
38,1.9020703,3.663245,1.8924096,1.6795523,5.8602133,0.2401671,2.4813468
39,2.4897459,0.0,2.7689443,0.2094076,3.5835357,4.9785657,2.9321568
40,2.8492641,1.4406787,2.8538716,1.6787541,5.18937,0.52357864,2.8181145
41,2.982125,0.54098576,3.6322556,0.1265097,3.183677,4.3739705,2.5727177
42,2.5731645,0.0,2.768034,0.19285443,3.297161,4.933122,2.8167071
43,2.2428153,0.0,2.2945926,0.28977305,1.4240212,5.0855746,2.364487
44,3.4637501,2.996568,5.3626623,0.9873481,5.126585,2.9001667,3.2029579
45,2.5233405,0.0,2.7689846,0.25384587,3.5809803,4.960417,2.9193614
46,2.8860176,0.91566145,3.141425,0.5840614,1.7215842,5.174802,2.0883248
47,1.2763281,0.60316277,1.6143032,0.0,5.121977,2.7425308,2.471335
48,1.7565612,0.74096566,2.0430832,0.0,5.6617355,3.614822,3.434785
49,0.8920883,0.0,0.5223646,2.2440934,2.0213044,4.363989,1.6117471
50,1.409688,0.0,1.2192305,1.6912644,1.6207286,6.1364636,1.9490185
51,1.6343986,0.0,1.5878435,0.6805242,1.9893247,5.965618,2.508176
52,2.1281052,3.0591173,2.716608,2.8589435,0.47640133,4.676891,0.936413
53,1.5042927,0.025722057,1.3657377,1.399651,1.3271055,6.010916,1.9063797
