,0,1,2,3,4,5,6,7
0,0.798254,0.0,0.83771336,1.2025703,4.1486382,3.099913,1.5904254,2.7095642
1,5.059879,0.0,2.437798,0.0,2.9617434,0.0,0.69757724,2.9470458
2,2.9739792,0.0,1.130914,0.0,0.9540775,5.5906754,2.14202,5.1323657
3,1.2011483,0.0,1.1704155,0.8779657,3.8164954,3.7574139,1.9344023,3.3570652
4,0.0,0.0,2.499342,3.318936,0.75044376,4.06887,0.0,7.365577
5,2.502197,0.0,1.5759331,0.0,1.4945006,0.0,0.48891503,2.671514
6,3.3000042,0.0,1.8782752,0.0,0.29843712,3.5889697,1.1169331,5.3509364
7,1.999296,0.0,1.0796229,0.0,1.9320915,5.524048,2.3100858,4.5258574
8,2.1235032,0.0,1.5059277,1.0296925,4.570783,4.2419453,2.6053414,4.261587
9,5.738172,1.2671974,2.7841911,0.0,6.271711,6.519309,4.8699017,4.233939
10,1.9858139,0.0,1.9049624,0.0,0.6285833,1.900388,0.07178584,3.8668666
11,4.2299547,0.0,1.710827,0.0,2.237111,5.8803577,3.3751292,5.0389314
12,2.4681098,0.0,0.3833986,0.0,0.0,4.390916,1.2763448,3.5432549
13,3.4498942,0.12470438,1.6517955,0.6260537,6.3153057,5.4321504,3.509941,3.8489866
14,2.7946122,0.0,1.1268002,0.0,1.0752804,5.634346,2.1836386,4.9049516
15,1.1674589,0.0,1.1675365,0.6237876,3.881435,4.6310062,2.4757662,4.234275
16,4.737578,0.6072031,1.2215782,0.0,2.4135184,5.5066895,3.4980588,4.216201
17,3.0587401,0.0,2.0591075,0.0,0.25919807,3.3092432,0.96138,5.4994597
18,1.2476163,0.0,1.1318277,0.7583111,4.3030305,4.7402463,2.596307,4.190805
19,7.263121,0.0,1.4392184,0.0,4.3776546,0.037257805,0.60190535,2.525539
20,6.2553034,0.0,0.7246465,0.0,1.3310752,5.1361465,1.8084044,4.5665326
21,5.4690857,0.0,1.6893777,0.0,1.8491195,5.117355,1.6512941,5.330469
22,1.8120942,0.0,1.0361482,0.0,0.0,4.5539923,0.8452424,4.3296895
23,2.0427094,0.0,1.7859424,0.0,0.8479068,1.1068981,0.09126976,3.3910985
24,1.1834781,0.0,0.8536847,0.0,0.6332844,4.557847,1.3060429,3.3985295
25,1.9634013,0.2343517,0.67270344,0.0,2.0578952,5.269122,2.635127,3.7608137
26,4.6856894,0.0,2.21911,0.0,0.8761295,3.0012376,1.3234673,5.4533467
27,1.0520706,0.15074456,0.4370787,0.22431736,4.1878557,1.1250286,1.0474148,0.39380884
28,4.0988455,0.87937415,1.592642,0.0,3.5500922,6.0089083,3.916833,4.1448474
29,2.8108113,0.0,1.1295651,1.4513817,6.921241,4.1666803,2.9101536,3.2458768
30,3.5801337,0.0,2.252551,0.0,0.8961039,0.49961054,0.587906,4.1722746
31,5.579844,0.0,0.27634537,0.0,1.0500336,4.5933986,1.9656475,4.0612836
32,0.8379848,0.0,0.8343809,1.2210853,4.2118616,3.0718982,1.6102505,2.694508
33,4.2375784,0.0,2.5679634,0.0,1.161233,1.6181456,1.0651464,4.8129416
34,3.9534817,0.0,2.0326157,0.0,1.1739559,0.0,0.4116889,3.5199676
35,0.0,0.0,2.4899693,3.2892263,0.74148065,4.0644298,0.0,7.3097525
36,0.9791592,0.0,1.2448121,0.0,1.4003158,5.2738066,1.6036825,4.5746098
37,1.4957688,0.0,1.2021543,0.8508906,4.0410886,3.604472,1.968268,3.2951565
38,5.645094,0.0,3.197465,0.0,2.8237247,1.0250266,1.5999472,4.3059726
39,2.0099385,0.0,0.989812,0.0,1.0356475,5.53798,1.8694725,4.722952
40,6.601255,0.0,2.8950257,0.0,3.3912373,3.8377836,2.143328,5.149585
41,3.155382,0.0,1.328169,0.0,1.8321264,5.6230326,2.8040366,4.68452
42,2.1902618,0.0,1.0928731,0.0,1.4339129,5.6352987,2.1259854,4.7203665
43,2.2274454,0.0,1.6453552,0.0,3.3073506,5.055609,2.7971754,4.3978877
44,5.1968517,0.0,0.72686076,0.0,0.9987842,5.1583056,2.389986,4.4377623
45,1.9231296,0.0,0.8431391,0.0,1.0105829,5.5179768,1.8116684,4.606809
46,3.177359,0.39046168,1.6076621,0.0,4.0841594,5.8787613,3.5794392,4.163889
47,2.4938517,0.0,1.415681,0.0,0.2516539,3.0086706,0.18896526,3.8976445
48,3.0535362,0.0,1.946309,0.0,0.19099286,3.5921304,1.0172098,5.503783
49,0.8680511,0.0,0.5987059,1.0606161,4.3673415,2.3520062,1.3878479,1.8474418
50,1.5956376,0.0,0.96005845,1.2391869,5.670912,4.7296066,2.8580582,3.7475915
51,1.0755908,0.0,1.1840812,0.35729724,3.3930655,4.9140325,2.4566598,4.3612156
52,4.6651096,0.0,1.5229294,1.8625497,8.281902,3.6685374,2.5906148,2.7278218
53,1.9257379,0.0,1.0953552,1.1871625,5.761002,4.8825207,3.017098,3.9105287
54,0.37406605,0.0,0.39803606,0.9032176,3.908616,2.2984073,1.1565844,1.6174698
55,3.1170785,1.8128469,0.0,0.0,6.747397,2.071014,1.2299871,0.0
56,1.593756,0.0,0.9611201,1.2095687,5.581179,4.741928,2.8697302,3.7718139
57,2.7064703,1.4385668,0.0,0.0,6.8608975,1.927583,1.2214882,0.0
58,0.5710772,0.0,0.6757629,1.076035,4.6245694,4.2733603,2.226315,3.312542
59,4.5795417,0.0,2.3739004,0.0,1.823398,0.0,0.7133256,3.690125
60,8.310538,0.0,2.9007173,0.0,4.887511,4.2764034,2.432101,4.317763
