,0,1,2,3,4
0,1.013676,3.194991,0.5467241,0.0,2.404816
1,8.276402,0.5787014,5.915708,0.0,1.5209944
2,1.970078,2.8336017,3.5959992,0.0,3.798844
3,0.5269765,2.7667239,0.92391825,0.0,2.4574568
4,2.689168,2.3077128,0.43806952,0.0,6.401938
5,4.087656,0.21307808,2.1331046,0.0,1.7835666
6,3.9241915,2.2500372,2.972508,0.0,4.199017
7,1.0931101,2.9064014,3.0428047,0.0,3.3688638
8,0.8777513,3.9189095,2.1331093,0.0,2.4874146
9,0.22196515,2.705612,4.0533214,0.0,1.4810256
10,4.010639,1.0067787,1.4807365,0.0,3.5602696
11,1.4105914,2.7388828,4.34622,0.0,3.1758583
12,1.8464196,2.1225162,2.869193,0.0,2.9727209
13,0.44020146,4.167108,2.772963,0.0,1.8056618
14,1.6433789,2.6975594,3.5604417,0.0,3.7190483
15,0.6903429,3.6938374,1.447947,0.0,3.0233815
16,1.8635322,4.0559196,5.4994426,0.0,2.107821
17,3.8816597,1.9757669,2.7454147,0.0,4.3189363
18,0.71955943,3.9129229,1.3537717,0.0,3.0195858
19,8.3372135,0.31139076,9.324233,0.0,0.3255361
20,4.619505,4.787872,5.6119742,0.0,2.8185925
21,4.6599813,4.090884,3.767569,0.0,3.4302309
22,2.185229,2.0482295,2.314184,0.0,3.8364913
23,3.8411748,0.571669,1.3587048,0.0,2.9788034
24,0.9095773,1.772319,2.4209113,0.0,3.4832919
25,1.0805348,3.3737502,3.3298159,0.0,2.943741
26,5.4413705,2.6596308,3.689309,0.0,4.0983844
27,3.1028638,4.6003222,0.94629914,0.0,1.8110563
28,1.0599324,3.7888455,4.806429,0.0,2.3174937
29,0.65972024,4.737029,1.4924164,0.0,1.5878648
30,5.600475,0.6307285,3.0592186,0.0,3.1538355
31,4.277567,4.762534,6.421277,0.0,2.4183464
32,0.9752764,3.1920166,0.56996286,0.0,2.3556125
33,6.186721,1.772794,3.2074723,0.0,3.8356745
34,6.5976534,0.35730982,5.125627,0.0,2.4383743
35,2.6857548,2.3062124,0.4490785,0.0,6.386348
36,1.1451356,2.5071216,2.1235516,0.0,3.9464247
37,0.51843524,2.7221184,1.0518155,0.0,2.2316763
38,8.45739,2.3808753,4.2907963,0.0,3.1346076
39,1.4503654,2.6207695,2.9896512,0.0,3.7363727
40,6.9018564,4.080515,3.510294,0.0,3.3598242
41,1.372465,2.9747927,4.045771,0.0,3.2790115
42,1.3356559,2.761239,3.1851323,0.0,3.6188002
43,0.80619663,3.0756187,2.9773269,0.0,2.8309672
44,3.6876473,3.7243986,6.2310925,0.0,2.933753
45,1.4766327,2.6630085,2.9239447,0.0,3.6711457
46,0.72379196,3.701559,3.78006,0.0,2.4322445
47,3.9813993,1.8190318,2.0119421,0.0,3.7149234
48,3.7354307,2.0652213,2.7806013,0.0,4.2950473
49,1.6054063,3.789489,0.6915167,0.0,2.163961
50,0.7093442,4.1262827,1.0072936,0.0,2.6646736
51,0.769172,3.5569396,1.7068119,0.0,3.1501215
52,0.9501253,6.060681,3.164506,0.0,0.35350803
53,0.60792106,4.09493,1.2744412,0.0,2.5415628
54,1.963715,3.8513699,0.48897958,0.0,2.4308283
55,5.014653,5.6003847,0.70342934,0.0,0.0
56,0.7394821,4.1054444,1.0720427,0.0,2.692254
57,3.824315,5.2267933,0.321657,0.0,0.0
58,1.2168696,4.31447,0.52445215,0.0,3.1149297
59,7.6267076,0.8495015,5.257072,0.0,2.5178478
60,7.532543,4.9038525,5.0713086,0.0,2.4826508
61,2.6279898,5.0077343,0.31260002,0.0,1.8997816
62,2.6534016,2.3520775,0.42370754,0.0,6.41205
63,0.50281125,4.395288,1.6775775,0.0,1.9521836
64,3.8641121,1.4657977,1.7155955,0.0,3.8143404
65,4.1707263,3.518249,5.6315794,0.0,3.4376247
66,1.1181396,4.6729183,0.7871232,0.0,1.7931656
67,3.8436,3.8107553,5.3573794,0.0,3.3920538
68,0.87148404,4.3698673,4.1269565,0.0,1.888646
