,0,1,2,3,4,5,6,7,8
0,1.4294114,0.22085422,5.4656706,2.0687592,1.7160828,1.780515,0.0,2.0285091,0.0
1,3.8092353,0.66321117,0.9290569,3.193454,0.96730316,4.350115,1.8027134,2.6407595,0.7405561
2,0.6275575,2.437688,4.138345,2.2892761,2.155574,2.022644,2.979999,0.9556314,0.0
3,0.7290596,0.28568527,4.343671,1.6068149,2.45542,1.1352706,0.22439773,1.5917368,0.0
4,0.03470117,0.0,10.837508,6.141356,0.68147147,9.925849,0.0,0.0,0.0
5,1.3624825,0.49054736,0.21814309,2.0782967,0.5708993,3.2628841,1.0400953,0.0,0.0
6,0.6138944,2.9184453,2.8915467,3.743527,0.82134354,3.8827507,2.6731682,0.0,0.0
7,0.3599112,1.6223135,4.544275,1.7478688,2.6287124,1.6733048,2.247933,1.5552131,0.0
8,1.412034,1.05164,4.869694,1.9397011,2.7929628,1.1397812,1.2229092,2.744073,0.0
9,0.71692824,1.8540928,3.317354,0.0,2.2510183,0.4684139,3.3474283,3.3066378,0.0
10,0.4651149,1.5331149,2.072723,3.513557,0.022663187,3.9097884,1.4865035,0.0,0.0
11,0.5470858,2.432481,3.2738056,1.3405489,2.4819078,1.8070407,3.6045203,1.3621588,0.0
12,0.49236917,2.07184,3.4000635,2.1381292,1.2883976,1.6648242,2.6390705,0.0,0.0
13,1.1019561,1.0697402,4.383457,0.64827144,2.7156422,0.061686307,1.604475,3.189268,0.0
14,0.4893096,2.2315502,4.1918435,2.0838473,2.2848668,1.9630497,2.8814163,1.0026501,0.0
15,0.70250815,0.91218156,5.223026,1.610529,2.5587776,0.9492075,0.8298631,1.939771,0.0
16,2.2245026,3.0012305,4.6001573,1.3229553,1.5104227,0.16367948,4.879994,2.207385,0.0
17,0.53633124,2.7348351,2.9397972,3.9517546,0.79790884,4.224647,2.4894238,0.0,0.0
18,0.8622401,0.94774,5.344445,1.6389043,2.547419,0.8729413,0.7812792,2.0589051,0.0
19,6.0571184,1.010037,2.8458896,4.6521015,1.9396313,5.370031,2.0238795,5.1019793,1.8092574
20,3.9019825,4.410921,3.6071634,4.3612337,1.9281998,1.7679765,4.3746505,2.6902719,0.0
21,2.1126876,4.177936,2.6541529,3.7710338,0.9495547,2.415213,3.7186522,2.3453152,0.0
22,0.09851438,1.9227214,4.1175876,3.1540742,1.2577875,2.8346016,2.0906048,0.0,0.0
