,0,1,2,3
0,4.214355,0.0,0.8353727,1.6310704
1,1.1394745,0.0,8.795059,4.449112
2,5.799749,0.5117802,4.3402033,5.753845
3,4.8789253,0.0,1.4998713,2.4279985
4,2.576909,0.0,0.0,3.7700899
5,1.4186926,0.051965892,5.1472244,3.7438128
6,3.7895389,0.81267697,4.0490417,6.2429833
7,6.4277678,0.16850692,3.484531,4.850487
8,6.2842503,0.0,2.5621548,2.965409
9,8.709225,0.71734905,7.1379414,3.0118062
10,2.1458828,0.34163314,3.3104925,5.0610785
11,6.9534636,0.6753338,5.5905156,5.3557534
12,4.725085,0.9163106,3.6196618,5.0568333
13,7.8250747,0.033825457,4.145426,2.7367506
14,6.0197587,0.4684791,4.226829,5.6536856
15,6.0095196,0.0,1.7973489,3.301462
16,7.270992,0.9626998,7.4826155,4.688316
17,3.60118,0.6267598,3.9805188,6.4553676
18,6.045988,0.0,1.75061,3.1641564
19,0.025315672,0.0,8.525739,5.1866164
20,5.655248,0.66069007,8.711248,4.714736
21,4.8548164,0.0,8.40086,4.8061085
22,3.7572787,0.51334935,2.2679248,5.085083
23,1.8707045,0.31353384,3.5544567,4.810672
24,4.433655,0.18881005,2.177636,4.1876636
25,6.912798,0.25364065,3.8615913,4.438386
26,3.7389467,1.129251,5.745391,6.363799
27,3.220704,0.30843633,0.80428886,0.046413854
28,7.8313713,0.5487603,6.2651014,4.2669544
29,6.373769,0.0,2.4887528,1.4239457
30,2.382084,0.6912739,6.523601,6.5367813
31,6.2632656,1.4067638,8.54556,4.915109
32,4.292559,0.0,0.8841983,1.6379814
33,2.9773088,0.8912122,6.402999,6.3026333
34,1.922869,0.30850393,7.4858384,6.0301285
35,2.55079,0.0,0.0,3.7459817
36,4.8211246,0.0,1.8627499,4.4789886
37,4.835812,0.0,1.6813098,2.2638059
38,2.3593187,0.0,8.512778,4.324371
39,5.7122808,0.24522442,3.4212608,5.2855062
40,3.615375,0.0,9.276716,3.8715336
41,6.9333253,0.463826,5.0882998,5.300331
42,6.0949273,0.2765568,3.6235662,5.2396097
43,6.9900246,0.18508643,3.6340384,4.0257497
44,6.6783924,1.5746756,7.963402,5.8074236
45,5.7779155,0.25510114,3.398396,5.2961874
46,7.813401,0.2953052,4.9763155,3.9268005
47,2.7308052,0.6208928,3.3137665,5.040459
48,3.7701225,0.6498633,3.9402838,6.4661913
49,3.7304525,0.0,0.8316935,1.0225703
50,6.2990103,0.0,1.7451785,2.271375
51,6.1387696,0.0,1.9888905,3.6628988
52,9.253031,0.2657389,5.282075,0.50178343
53,6.5362134,0.0,2.1036196,2.457796
54,3.3232775,0.0,0.41169518,1.0151119
55,3.3547425,2.0399055,0.8784262,0.0
56,6.3142495,0.0,1.7833202,2.3460011
57,3.4708836,1.6115704,0.62785184,0.0
58,5.3255444,0.0,0.70840573,2.2389314
59,1.8726555,0.2585404,8.009371,5.367073
60,3.5345645,0.0,9.881847,2.6559513
61,3.823694,0.029806733,0.474671,0.0057600886
62,2.6147099,0.0,0.0,3.8205879
63,6.822277,0.0,2.6839666,2.095588
64,2.5437484,0.4550478,3.1157403,5.1458664
65,5.855802,1.5812702,6.817221,6.246709
66,5.829775,0.0,1.6757869,0.9455852
67,6.2761774,0.96914876,7.842129,5.973555
68,7.7868056,0.09441835,5.2387056,3.0878026
69,8.094056,1.3796852,3.7243357,0.0
70,3.5219204,1.1413352,4.767382,6.4503946
71,4.7452273,1.2590137,4.0986605,4.725109
72,2.9757986,0.0,0.0,1.1039172
73,3.7660627,0.48367864,2.0512142,4.860046
74,2.2127872,0.4809533,7.3883266,6.0460863
75,2.3760943,0.0,6.727257,3.4249701
76,3.3951988,0.8502817,6.3884363,5.756208
77,3.9852161,0.6922372,2.561544,5.125822
78,4.4980903,1.0594212,4.771162,6.413782
79,3.9686294,1.0716043,4.5814342,4.4683585
80,6.071357,0.0,2.2006168,0.41337508
81,5.5904517,0.0,0.8900039,2.0687745
82,3.8289628,1.451097,0.7923674,0.0
83,3.9814095,0.24247938,2.428156,5.4404488
84,3.0164335,0.0,0.18957487,0.8479685
85,5.3706727,0.0,0.99039423,1.0281172
86,5.926182,0.0,2.4222565,4.448293
87,4.019219,0.20049614,2.2126966,5.2913256
88,7.9195313,0.02199918,3.6614723,1.06636
89,7.633617,0.2627136,4.4227986,3.9249904
90,1.1929537,0.0,8.59924,3.952616
91,8.407895,0.92004436,7.602375,3.9870737
92,7.1004767,0.26087546,4.124444,4.3455544
93,3.9365962,0.66774267,2.5694146,5.1365523
94,1.9415966,0.30163532,3.5239077,4.916275
95,2.5772235,0.0,0.0,3.7652
96,6.60298,0.050389707,2.6096082,3.5038085
97,2.0143268,0.5110553,4.8875046,6.6763353
98,7.8491797,0.65570086,3.346922,0.053074554
99,8.002568,0.3737961,5.8851976,3.9729178
100,6.461532,0.52310437,4.8607645,5.769267
101,4.092961,0.061145723,0.0,0.89553887
102,6.230073,0.0,2.0974164,1.4660791
103,5.318375,0.0,1.2007961,0.77091986
104,5.490585,0.028275669,2.4396007,2.8859093
105,5.0364275,0.37723947,1.813431,0.11262436
106,3.2784848,0.6245468,2.9422026,5.325306
107,5.417706,0.0782187,2.5213304,2.9781408
108,6.434214,0.0,2.2556753,0.87240857
109,4.190809,0.23951131,2.46763,5.384545
110,3.8922935,1.0845308,5.0537424,4.233758
111,8.577316,0.07386488,5.3171988,1.9109619
112,2.385644,0.5252981,7.3092504,5.724221
113,6.332835,0.33546072,4.0989795,5.353955
114,1.9303349,0.0,5.17365,3.8141367
115,3.3767986,0.65922743,2.922184,5.320033
116,1.8393296,0.0,8.007834,3.8695395
117,2.0668347,0.4067365,7.0972357,6.757636
118,2.2281342,0.20289135,4.570929,4.445174
119,2.97284,0.0,9.6078,3.7079332
120,4.9866476,0.17906433,2.4700363,4.01565
121,4.370073,0.07231182,1.9914775,4.0361066
122,3.349871,0.34852168,8.034555,5.105201
123,1.9209467,0.25331348,3.5117183,5.112861
124,2.5785317,0.0,0.0,3.7682788
125,5.373638,0.16261059,2.5386524,3.7579
126,6.767795,1.7285936,3.00388,0.0
127,5.4532523,1.09024,4.172705,4.6220274
128,0.17262998,0.0,8.584797,5.186899
129,2.19281,0.34622997,4.310479,6.292688
130,1.8120533,0.0,5.536505,3.3466995
131,7.32627,0.15358734,4.174801,4.3924365
132,2.6007485,0.0,0.0,3.7915952
133,2.6088054,0.0,0.0,3.780639
134,1.3942975,0.01097548,6.554022,3.2400162
135,6.0619087,0.17643088,3.2595434,4.9647818
136,2.1620407,0.0,7.0427923,3.371893
137,5.1110797,0.0,1.8577763,2.344083
138,2.2872083,0.6007367,4.7548146,6.518549
139,5.5957747,0.59852046,1.617254,0.0
140,6.0236015,0.5781248,4.99467,5.8370056
141,6.2388806,0.71532416,8.150931,5.09865
142,6.586422,0.93478036,5.353724,5.180384
143,4.803588,0.0,1.4455163,2.08305
144,4.1647096,0.7366138,4.0925894,6.365794
145,6.044855,0.0,2.0452828,1.154067
146,2.5952895,0.0,0.0,3.8019083
147,5.89581,0.7663125,3.5741944,4.05084
148,2.8771615,0.6363063,7.6629467,6.213217
149,2.5964482,0.0,0.0,3.8158352
150,2.8636272,0.89994335,5.646124,6.170335
151,0.861343,0.0,8.961992,5.069776
152,3.2702537,0.8386043,4.392351,6.444765
153,7.367229,0.26610214,4.0379553,3.5481963
154,4.6011286,0.0,0.106265485,1.3233132
155,7.9327126,0.011931181,4.4938545,2.5244458
156,4.0147257,0.7198984,4.008346,6.3834834
157,6.1888924,0.0,3.767056,1.3819675
158,2.1998982,0.67040783,5.9859447,6.803157
159,3.9532814,0.0,0.9539074,1.1296018
160,6.6199927,0.0,2.510158,2.553935
161,2.2802112,0.46972564,7.692913,5.6083374
162,4.4427238,0.0,1.1503856,3.0895011
163,2.5988276,0.0,0.0,3.8061235
164,3.1302607,0.032954514,0.52065915,0.33629763
165,7.7207093,0.37597048,5.878792,4.569989
166,4.3433914,0.822249,4.2877693,6.2819753
167,4.1965938,0.29240197,2.7212977,5.5598173
168,3.6823373,0.5954034,2.4270482,5.148916
169,3.0241146,0.51469517,7.3799043,5.340262
170,4.608755,0.0,0.6504271,0.44142044
171,5.344712,0.0,2.352062,1.5212377
