,0,1,2,3,4,5,6,7,8,9
0,4.7719994,0.21628962,0.0,0.0,0.0,0.9679636,2.4214942,1.0791829,1.9701966,3.620042
1,0.38307148,7.1730504,3.4517515,0.30396724,0.0,0.039912015,3.0634832,4.0955825,0.0,3.5296853
2,5.668685,2.302205,2.1952736,0.0,0.0,2.3851154,0.31301796,0.9919218,0.8314589,1.4405236
3,5.444804,0.3602031,0.0,0.0,0.0,1.062997,1.8288817,1.2509576,1.4683315,3.3259127
4,4.885918,6.050239,0.53326255,0.0,0.0,4.16837,1.4560055,0.40072235,3.3180423,9.054186
5,0.8470564,4.6529613,1.0649948,0.0,0.0,0.6664454,1.7557342,1.5967679,0.0,2.3014648
6,3.3304436,3.2539704,2.7100976,0.0,0.0,2.936846,0.27255213,0.45667967,0.043213468,3.0801597
7,6.4064045,1.4452939,1.1592933,0.0,0.0,1.8290147,0.26494443,1.0315857,1.3995048,1.8752749
8,6.1732264,0.016970202,0.68562,0.0,0.0,1.2846258,2.1935148,1.775475,1.5949883,2.1685631
9,5.207157,1.4260697,1.6550007,0.0,0.0,1.1705053,1.1980201,4.3398786,2.0363543,0.7846389
10,1.7788779,3.6116343,1.2617302,0.0,0.0,2.136601,0.0,0.0,0.28094086,3.1450968
11,5.9979296,2.405261,2.424723,0.0,0.0,1.8215784,0.3563925,2.281995,0.3005071,0.8978087
12,4.731927,2.8341599,2.0420475,0.0,0.0,2.6441984,1.4078164,1.4612002,0.95858175,1.9720292
13,6.3882008,0.5384372,0.59366053,0.0,0.0,0.87410426,2.762286,3.6182234,1.9167055,2.0744574
14,5.8387976,2.223774,1.9851,0.0,0.0,2.302964,0.29029393,1.0588583,0.9339385,1.5368066
15,6.520507,0.15264289,0.13433045,0.0,0.0,1.5017619,1.6073606,1.4483047,2.0431418,3.281675
16,6.4352293,3.6659946,4.203588,0.0,0.0,2.2989814,2.3333576,5.0583096,1.0297314,1.2412232
17,3.2919047,3.493761,2.644499,0.0,0.0,2.9631064,0.083696485,0.44678605,0.09751637,3.5341556
18,6.532852,0.090608284,0.16272253,0.0,0.0,1.5379821,1.8026695,1.5891942,2.1813002,3.3643525
19,0.0,7.885106,2.772384,1.6835963,0.0,0.0,5.2147474,6.529863,0.0,5.7703214
20,3.6809025,2.3842864,4.2259707,0.0,0.0,2.401262,2.1301892,2.0482419,0.1723877,0.18765719
21,3.036009,2.0594978,3.4107797,0.0,0.0,2.226823,0.80123496,0.6285558,0.2724758,0.3293283
22,4.5967855,2.7529387,1.5566521,0.0,0.0,2.9926956,0.5095881,0.31897,0.90779436,2.794873
23,1.2730643,3.801786,1.043714,0.0,0.0,1.6573304,0.34786546,0.4066701,0.07239087,2.8576882
24,5.7043734,2.2311904,0.9388361,0.0,0.0,2.340714,0.4466738,1.0938052,1.4698817,2.9074
25,6.9300966,1.7476528,1.6296527,0.0,0.0,2.1515508,1.2589483,2.7630875,2.6274424,2.275427
26,2.501394,3.771717,3.4437773,0.0,0.0,2.541219,0.54380083,1.1570381,0.0,2.9311142
27,2.2470064,1.0732992,0.0,0.0,0.0,0.47223845,3.8296347,2.164634,3.0738378,3.8976119
28,6.4907265,1.7839059,2.3133698,0.0,0.0,1.7665551,1.3939904,3.8202865,1.6864916,0.99275184
29,5.93722,0.29802507,0.34598094,0.0,0.0,0.68777084,4.4015827,3.6447916,2.9557679,2.6277068
30,1.178943,5.4639473,2.6121013,0.0,0.0,1.6063216,1.3726714,1.8701577,0.0,3.7012641
31,4.673683,3.3809664,4.9313664,0.0,0.0,2.5854173,3.1645253,3.5472465,0.46207872,0.8690957
32,4.778338,0.20545141,0.0,0.0,0.0,0.975773,2.427009,1.1523738,2.0240333,3.5882962
33,1.4841946,5.049627,3.4484046,0.0,0.0,1.9914786,0.73156774,1.5170529,0.2946083,3.4513614
34,0.4707303,6.466061,2.8687224,0.0,0.0,0.71810913,2.436173,2.765608,0.0,4.0701785
35,4.9058766,6.1171937,0.58966,0.0,0.0,4.190584,1.5017532,0.43339553,3.3768797,9.136368
36,6.2758884,1.4538425,0.6657906,0.0,0.0,2.3389437,0.29690802,0.26214233,1.5375267,3.07429
37,5.1343856,0.31019133,0.0,0.0,0.0,0.9147885,1.8785043,1.3133614,1.2813518,2.9519973
38,0.34134454,6.0460725,4.392091,0.36595488,0.0,0.8825005,1.5507494,2.8530807,0.0,2.5547516
39,6.0425377,1.8614306,1.3870192,0.0,0.0,2.230656,0.20568156,0.62901974,1.0833231,1.8704712
40,1.206565,3.1817255,3.7261534,0.07804906,0.0,1.4617813,0.5919117,1.2961031,0.51002365,0.70189774
41,6.29329,1.96812,2.0487115,0.0,0.0,1.8316466,0.4165573,1.7791057,0.60620415,1.0259596
42,6.1547627,1.7726984,1.3708811,0.0,0.0,2.084199,0.19469988,0.8198056,1.2051779,1.7463645
43,6.252199,0.8943662,0.62074804,0.0,0.0,1.2693514,0.78601605,1.5492524,0.96877974,1.9360383
44,5.0232406,4.026379,4.6880383,0.0,0.0,2.738129,2.432054,3.8654685,0.7767089,1.4541211
45,6.1026306,1.8179994,1.4426527,0.0,0.0,2.2548847,0.3388672,0.66964555,1.200069,1.8820174
46,6.6777534,1.097379,1.2943246,0.0,0.0,1.3603224,1.2054732,2.9418142,1.2127758,1.4459713
