,num,mse
0,4,0.0009769003695535463
1,5,0.0007763199417231288
2,6,0.0008918540042945651
3,7,0.0007422200469227457
4,8,0.0008915317250199777
5,9,0.000860033023481833
6,10,0.0009924528575873243
